date,type,amount,category
2019-05-01,expense,1533.07,Housing
2019-05-01,expense,210.0,Utilities
2019-05-01,expense,203.45,Insurance
2019-05-01,expense,62.49,Subscriptions
2019-05-01,expense,87.95,Entertainment
2019-05-02,expense,138.96,Dining Out
2019-05-02,expense,15.6,Personal Care
2019-05-03,income,800.94,Freelance
2019-05-04,expense,149.38,Groceries
2019-05-04,expense,31.2,Transportation
2019-05-05,income,1232.96,Rental Income
2019-05-06,income,794.5,Side Business
2019-05-06,expense,96.04,Dining Out
2019-05-07,expense,109.34,Shopping
2019-05-08,income,634.12,Freelance
2019-05-10,income,325.67,Investments
2019-05-10,expense,32.81,Personal Care
2019-05-11,expense,141.4,Groceries
2019-05-11,expense,1.23,Education
2019-05-11,expense,39.66,Transportation
2019-05-13,income,681.75,Freelance
2019-05-14,expense,143.16,Dining Out
2019-05-15,income,2250.0,Salary
2019-05-16,expense,210.21,Shopping
2019-05-17,expense,138.08,Dining Out
2019-05-18,expense,134.64,Groceries
2019-05-19,expense,84.54,Transportation
2019-05-23,income,951.74,Freelance
2019-05-24,expense,47.37,Shopping
2019-05-24,expense,95.51,Healthcare
2019-05-25,expense,52.54,Shopping
2019-05-25,expense,67.89,Transportation
2019-05-25,expense,131.62,Groceries
2019-05-26,expense,160.42,Healthcare
2019-05-30,income,2250.0,Salary
2019-05-30,income,886.93,Freelance
2019-05-30,expense,35.26,Entertainment
2019-06-01,expense,128.69,Groceries
2019-06-01,expense,1494.86,Housing
2019-06-01,expense,214.85,Utilities
2019-06-01,expense,191.16,Insurance
2019-06-01,expense,62.03,Subscriptions
2019-06-02,expense,138.43,Dining Out
2019-06-02,expense,53.98,Education
2019-06-03,expense,115.9,Dining Out
2019-06-05,income,1243.81,Rental Income
2019-06-06,income,757.0,Freelance
2019-06-06,expense,83.01,Transportation
2019-06-07,expense,147.44,Healthcare
2019-06-08,income,605.09,Side Business
2019-06-08,expense,147.57,Groceries
2019-06-08,expense,32.11,Transportation
2019-06-08,expense,95.1,Gifts
2019-06-09,expense,90.6,Dining Out
2019-06-09,expense,23.17,Personal Care
2019-06-09,expense,42.78,Transportation
2019-06-10,income,381.37,Investments
2019-06-11,expense,82.83,Entertainment
2019-06-11,expense,110.4,Dining Out
2019-06-14,expense,88.18,Entertainment
2019-06-15,income,2250.0,Salary
2019-06-15,income,775.93,Side Business
2019-06-15,expense,112.0,Groceries
2019-06-15,expense,202.46,Shopping
2019-06-16,expense,49.38,Entertainment
2019-06-16,income,539.08,Side Business
2019-06-16,expense,141.71,Dining Out
2019-06-17,expense,95.28,Dining Out
2019-06-18,expense,69.48,Dining Out
2019-06-19,income,952.45,Freelance
2019-06-19,expense,133.35,Shopping
2019-06-19,expense,234.41,Shopping
2019-06-20,expense,95.51,Entertainment
2019-06-20,expense,57.4,Transportation
2019-06-22,expense,148.09,Groceries
2019-06-22,income,696.95,Freelance
2019-06-23,expense,115.3,Dining Out
2019-06-23,expense,142.94,Dining Out
2019-06-24,expense,192.83,Shopping
2019-06-25,expense,43.41,Shopping
2019-06-25,expense,35.79,Shopping
2019-06-26,income,643.44,Freelance
2019-06-27,expense,140.76,Dining Out
2019-06-27,income,838.17,Side Business
2019-06-28,expense,212.63,Shopping
2019-06-28,income,745.47,Side Business
2019-06-29,expense,121.57,Groceries
2019-06-30,income,2250.0,Salary
2019-07-01,expense,1531.79,Housing
2019-07-01,expense,209.75,Utilities
2019-07-01,expense,191.51,Insurance
2019-07-01,expense,65.69,Subscriptions
2019-07-01,expense,58.2,Dining Out
2019-07-04,expense,154.76,Healthcare
2019-07-05,expense,65.27,Transportation
2019-07-05,expense,77.68,Entertainment
2019-07-05,income,1255.87,Rental Income
2019-07-06,expense,105.55,Groceries
2019-07-06,expense,89.22,Transportation
2019-07-07,expense,41.15,Transportation
2019-07-08,expense,53.4,Gifts
2019-07-09,expense,54.23,Dining Out
2019-07-10,income,373.25,Investments
2019-07-10,expense,38.41,Personal Care
2019-07-10,expense,36.43,Healthcare
2019-07-11,expense,193.52,Healthcare
2019-07-11,income,568.25,Side Business
2019-07-12,income,645.51,Freelance
2019-07-12,expense,34.26,Transportation
2019-07-12,expense,66.08,Entertainment
2019-07-13,expense,112.2,Groceries
2019-07-13,expense,106.92,Dining Out
2019-07-15,income,2250.0,Salary
2019-07-15,income,612.78,Side Business
2019-07-15,expense,116.35,Dining Out
2019-07-16,expense,82.8,Entertainment
2019-07-16,expense,33.99,Entertainment
2019-07-17,expense,142.56,Shopping
2019-07-18,expense,145.47,Dining Out
2019-07-18,expense,37.85,Entertainment
2019-07-20,income,720.95,Freelance
2019-07-20,income,579.6,Side Business
2019-07-20,expense,147.37,Groceries
2019-07-23,expense,34.17,Entertainment
2019-07-24,income,547.83,Side Business
2019-07-24,expense,154.74,Shopping
2019-07-25,expense,56.76,Entertainment
2019-07-25,income,592.35,Side Business
2019-07-26,expense,162.95,Shopping
2019-07-27,income,710.04,Freelance
2019-07-27,income,660.2,Side Business
2019-07-27,expense,144.97,Groceries
2019-07-28,expense,40.27,Transportation
2019-07-28,expense,102.34,Dining Out
2019-07-29,expense,96.84,Entertainment
2019-07-29,expense,104.23,Dining Out
2019-07-30,expense,64.68,Dining Out
2019-07-30,income,1001.13,Freelance
2019-07-30,income,2250.0,Salary
2019-07-31,income,481.2,Side Business
2019-08-01,expense,1516.03,Housing
2019-08-01,expense,209.18,Utilities
2019-08-01,expense,198.7,Insurance
2019-08-01,expense,64.37,Subscriptions
2019-08-01,expense,23.06,Personal Care
2019-08-03,expense,149.53,Groceries
2019-08-03,expense,126.19,Shopping
2019-08-03,expense,54.07,Entertainment
2019-08-04,expense,27.38,Entertainment
2019-08-04,expense,119.7,Gifts
2019-08-05,income,1183.91,Rental Income
2019-08-06,expense,56.22,Transportation
2019-08-07,expense,32.65,Gifts
2019-08-08,expense,91.31,Transportation
2019-08-10,income,370.98,Investments
2019-08-10,expense,104.97,Groceries
2019-08-10,expense,71.41,Transportation
2019-08-10,expense,66.36,Transportation
2019-08-11,expense,4.89,Gifts
2019-08-12,expense,86.68,Entertainment
2019-08-13,income,820.09,Freelance
2019-08-13,income,382.28,Side Business
2019-08-14,expense,82.12,Dining Out
2019-08-15,income,2250.0,Salary
2019-08-15,expense,98.55,Shopping
2019-08-16,expense,61.16,Gifts
2019-08-17,expense,105.09,Groceries
2019-08-17,expense,203.51,Shopping
2019-08-23,income,775.72,Freelance
2019-08-24,expense,33.54,Entertainment
2019-08-24,expense,79.33,Shopping
2019-08-24,expense,121.0,Groceries
2019-08-26,income,675.07,Side Business
2019-08-26,expense,87.95,Entertainment
2019-08-27,expense,90.38,Transportation
2019-08-28,expense,53.5,Transportation
2019-08-29,expense,46.96,Transportation
2019-08-30,income,2250.0,Salary
2019-08-30,expense,157.82,Shopping
2019-08-31,expense,103.92,Groceries
2019-08-31,expense,46.08,Education
2019-09-01,expense,64.88,Subscriptions
2019-09-01,expense,190.38,Insurance
2019-09-01,expense,1508.83,Housing
2019-09-01,expense,224.99,Utilities
2019-09-02,expense,34.01,Transportation
2019-09-02,expense,102.39,Gifts
2019-09-03,expense,80.49,Transportation
2019-09-04,income,609.92,Side Business
2019-09-05,expense,35.27,Transportation
2019-09-05,income,1227.05,Rental Income
2019-09-07,expense,70.62,Dining Out
2019-09-07,expense,107.69,Groceries
2019-09-10,income,317.25,Investments
2019-09-10,expense,27.17,Entertainment
2019-09-11,income,938.07,Freelance
2019-09-12,expense,76.05,Entertainment
2019-09-13,expense,222.86,Shopping
2019-09-14,expense,106.03,Groceries
2019-09-15,income,2250.0,Salary
2019-09-15,income,802.24,Side Business
2019-09-15,expense,43.5,Personal Care
2019-09-18,expense,19.7,Personal Care
2019-09-19,expense,61.82,Entertainment
2019-09-20,income,760.53,Freelance
2019-09-20,expense,63.13,Dining Out
2019-09-21,expense,132.06,Groceries
2019-09-21,expense,94.59,Dining Out
2019-09-23,expense,93.87,Shopping
2019-09-23,expense,87.31,Dining Out
2019-09-24,expense,115.55,Shopping
2019-09-25,expense,171.43,Healthcare
2019-09-25,expense,141.98,Education
2019-09-27,expense,208.09,Shopping
2019-09-28,expense,141.35,Groceries
2019-09-30,income,2250.0,Salary
2019-09-30,expense,78.92,Shopping
2019-10-01,expense,1580.32,Housing
2019-10-01,expense,217.58,Utilities
2019-10-01,expense,197.51,Insurance
2019-10-01,expense,65.01,Subscriptions
2019-10-02,expense,93.31,Education
2019-10-02,expense,237.05,Shopping
2019-10-03,expense,72.06,Transportation
2019-10-04,expense,124.62,Dining Out
2019-10-05,income,1187.66,Rental Income
2019-10-05,expense,132.47,Groceries
2019-10-05,expense,144.39,Healthcare
2019-10-05,expense,95.72,Entertainment
2019-10-06,expense,60.48,Transportation
2019-10-07,income,814.82,Side Business
2019-10-09,expense,92.75,Entertainment
2019-10-09,expense,82.44,Dining Out
2019-10-10,expense,66.87,Transportation
2019-10-10,expense,127.41,Dining Out
2019-10-10,income,379.76,Investments
2019-10-11,income,873.7,Freelance
2019-10-12,expense,120.21,Groceries
2019-10-13,expense,85.57,Dining Out
2019-10-14,income,485.08,Side Business
2019-10-14,expense,64.02,Entertainment
2019-10-15,income,2250.0,Salary
2019-10-16,expense,101.83,Healthcare
2019-10-17,expense,89.72,Entertainment
2019-10-17,income,691.79,Freelance
2019-10-18,expense,60.61,Dining Out
2019-10-18,income,687.19,Freelance
2019-10-18,income,618.3,Side Business
2019-10-19,expense,115.58,Groceries
2019-10-20,income,474.37,Side Business
2019-10-20,expense,72.62,Transportation
2019-10-21,expense,88.96,Transportation
2019-10-22,expense,98.48,Dining Out
2019-10-22,expense,42.91,Personal Care
2019-10-23,income,781.77,Side Business
2019-10-24,expense,192.84,Healthcare
2019-10-25,expense,49.19,Education
2019-10-25,income,735.12,Freelance
2019-10-26,expense,135.91,Groceries
2019-10-26,expense,92.78,Healthcare
2019-10-28,income,790.09,Side Business
2019-10-29,income,557.62,Side Business
2019-10-29,expense,176.09,Healthcare
2019-10-29,expense,46.96,Transportation
2019-10-30,income,2250.0,Salary
2019-10-31,expense,23.97,Personal Care
2019-11-01,expense,65.05,Dining Out
2019-11-01,expense,47.92,Shopping
2019-11-01,expense,62.28,Subscriptions
2019-11-01,expense,197.75,Insurance
2019-11-01,expense,215.58,Utilities
2019-11-01,expense,1622.26,Housing
2019-11-02,income,660.35,Side Business
2019-11-02,expense,122.53,Groceries
2019-11-02,expense,98.84,Transportation
2019-11-03,income,719.27,Freelance
2019-11-03,expense,92.93,Gifts
2019-11-04,expense,151.66,Shopping
2019-11-05,expense,55.73,Gifts
2019-11-05,expense,105.38,Education
2019-11-05,income,762.23,Freelance
2019-11-05,income,1151.95,Rental Income
2019-11-06,expense,74.01,Transportation
2019-11-06,expense,116.97,Shopping
2019-11-06,expense,56.87,Healthcare
2019-11-07,expense,141.22,Dining Out
2019-11-07,expense,50.22,Transportation
2019-11-08,expense,47.34,Transportation
2019-11-08,income,599.12,Freelance
2019-11-08,expense,62.03,Entertainment
2019-11-09,income,776.27,Freelance
2019-11-09,expense,140.45,Groceries
2019-11-09,expense,24.87,Gifts
2019-11-09,expense,139.32,Healthcare
2019-11-09,expense,79.56,Shopping
2019-11-10,income,337.9,Investments
2019-11-11,expense,73.98,Transportation
2019-11-11,expense,89.34,Transportation
2019-11-11,expense,87.52,Entertainment
2019-11-12,expense,133.36,Dining Out
2019-11-13,expense,182.88,Shopping
2019-11-14,income,786.96,Side Business
2019-11-14,expense,135.85,Dining Out
2019-11-14,expense,122.2,Gifts
2019-11-15,income,2250.0,Salary
2019-11-15,expense,84.36,Entertainment
2019-11-15,expense,121.05,Dining Out
